strong_cc_crossing,strong_cc_passing,strong_cc_shooting,strong_cc_positioning,ss_id,id
47,36,56,Free Form,503283,8347
41,38,57,Free Form,173923,43725
67,66,45,Organised,314675,29615
36,34,68,Free Form,693940,96047
45,58,58,Organised,396167,99687
50,50,65,Organised,427361,17465
67,56,51,Organised,3297,16188
52,49,52,Organised,143464,3816
48,48,63,Organised,232010,17527
58,68,37,Organised,349901,46378
52,68,61,Organised,668724,33142
42,57,54,Organised,677516,85575
52,30,48,Free Form,426265,70721
51,38,49,Organised,510742,72655
68,58,50,Organised,129055,39666
64,33,37,Organised,760306,1415
34,51,37,Organised,353081,24175
50,65,54,Organised,652478,50985
73,59,53,Organised,51885,84831
67,56,51,Organised,394582,63499
67,56,51,Organised,509850,73061
52,55,39,Organised,362135,41431
58,68,37,Organised,319617,90612
33,36,46,Free Form,440398,10366
60,42,42,Organised,231006,27680
52,30,48,Free Form,60587,55247
52,49,52,Organised,385400,62126
64,33,37,Organised,625342,52205
33,36,46,Free Form,574132,88280
61,62,57,Organised,665855,96102
52,55,39,Organised,372715,65111
67,56,51,Organised,699095,10613
50,50,65,Organised,339714,34762
63,60,62,Organised,248726,45938
52,55,39,Organised,347319,42938
42,57,54,Organised,191626,29818
52,49,52,Organised,537898,25201
48,48,63,Organised,404394,75061
33,36,46,Free Form,355563,51910
34,51,37,Organised,181775,38417
45,58,58,Organised,42279,4865
64,33,37,Organised,370693,60035
36,34,68,Free Form,355595,77714
60,42,42,Organised,51318,2473
63,60,62,Organised,777205,34486
51,38,49,Organised,369174,35408
50,50,65,Organised,172469,32873
50,65,50,Organised,266889,59752
34,51,37,Organised,660749,7311
44,68,50,Organised,292816,85764
52,49,52,Organised,303404,78098
67,56,51,Organised,771192,79480
49,54,36,Free Form,631807,19241
42,57,54,Organised,642124,17465
47,36,56,Free Form,446589,10560
33,36,46,Free Form,20971,79144
50,40,50,Organised,160638,6610
58,68,37,Organised,690286,21447
41,38,57,Free Form,374030,69091
36,34,68,Free Form,152237,61312
30,61,66,Organised,630367,46322
59,59,43,Organised,166926,88467
67,56,51,Organised,561568,63069
48,48,63,Organised,557269,95976
49,54,36,Free Form,238767,69530
60,42,42,Organised,187496,74321
50,50,65,Organised,363537,37527
41,38,57,Free Form,546274,33488
36,34,68,Free Form,507399,81505
33,36,46,Free Form,229442,58195
44,68,50,Organised,189676,65817
52,30,48,Free Form,42986,26702
52,49,52,Organised,103808,100763
61,62,57,Organised,97118,33049
45,58,58,Organised,82990,64320
48,48,63,Organised,677900,27346
36,34,68,Free Form,567846,67073
50,50,65,Organised,342685,13933
52,30,48,Free Form,299283,35743
60,42,42,Organised,168997,71246
33,36,46,Free Form,52919,18736
59,59,43,Organised,96838,66069
50,50,65,Organised,798360,13388
46,53,40,Organised,73060,8214
36,34,68,Free Form,165961,3450
52,49,52,Organised,440905,41417
33,36,46,Free Form,538913,24007
41,38,57,Free Form,732942,99125
52,30,48,Free Form,673921,33040
33,36,46,Free Form,4313,72065
48,48,63,Organised,653215,24694
52,30,48,Free Form,525130,1916
48,48,63,Organised,426958,38826
52,49,52,Organised,48530,97879
48,48,63,Organised,337054,56343
45,58,58,Organised,64203,13276
36,34,68,Free Form,136532,53093
41,38,57,Free Form,561646,37955
50,65,50,Organised,288919,95384
50,50,65,Organised,23230,70833
42,57,54,Organised,636391,36093
52,49,52,Organised,713844,79629
52,55,39,Organised,240723,59429
44,68,50,Organised,192139,99095
56,53,52,Organised,411237,41077
48,48,63,Organised,174471,65088
42,57,54,Organised,652021,86232
44,68,50,Organised,477621,14033
50,65,50,Organised,603669,33883
66,51,57,Organised,239802,41689
52,55,39,Organised,361405,18511
52,30,48,Free Form,645429,84797
34,51,37,Organised,33807,83435
36,34,68,Free Form,579148,56782
30,61,66,Organised,291745,41416
42,57,54,Organised,398805,2276
44,68,50,Organised,195488,78703
41,38,57,Free Form,111929,65344
50,50,65,Organised,735039,17479
36,34,68,Free Form,32850,50350
34,51,37,Organised,93239,63472
52,49,52,Organised,364121,36008
59,59,43,Organised,73444,67000
48,48,63,Organised,543741,87247
58,68,37,Organised,459293,43399
47,36,56,Free Form,420727,47093
52,49,52,Organised,457529,51088
64,33,37,Organised,62503,85298
36,34,68,Free Form,749731,64397
50,65,50,Organised,450142,68058
44,68,50,Organised,185552,85432
34,51,37,Organised,477691,75974
48,48,63,Organised,39559,65528
67,56,51,Organised,656863,8828
42,57,54,Organised,503848,7537
33,36,46,Free Form,621717,56030
42,57,54,Organised,85687,67912
44,68,50,Organised,320363,94680
32,33,48,Organised,422811,85773
34,51,37,Organised,239028,89433
38,32,32,Organised,730216,85393
56,53,52,Organised,726733,82781
67,56,51,Organised,356461,46880
52,49,52,Organised,163395,80907
47,36,56,Free Form,32473,2784
30,61,66,Organised,396369,30768
47,36,56,Free Form,135129,38248
36,34,68,Free Form,583695,19575
32,33,48,Organised,795364,72578
34,51,37,Organised,206692,16822
51,38,49,Organised,78661,64950
50,65,50,Organised,40431,31588
41,38,57,Free Form,573355,69938
52,49,52,Organised,719108,2369
48,48,63,Organised,232469,55159
42,57,54,Organised,601289,73938
61,62,57,Organised,69909,65298
73,59,53,Organised,635160,80605
42,57,54,Organised,487013,28809
53,46,65,Organised,788023,2514
48,48,63,Organised,806914,29841
55,40,55,Organised,31562,16112
36,34,68,Free Form,489798,46020
50,50,65,Organised,689975,66429
32,33,48,Organised,568197,65421
42,57,54,Organised,6695,42244
38,32,32,Organised,355514,71830
50,40,50,Organised,594536,37128
55,60,33,Organised,463002,87490
45,58,58,Organised,501083,3887
33,36,46,Free Form,230578,49051
52,55,39,Organised,219727,46778
52,34,48,Free Form,693021,43095
52,68,61,Organised,518897,72253
58,46,50,Organised,343760,60728
55,40,55,Organised,730509,36324
54,61,66,Organised,266136,73761
36,34,68,Free Form,398000,13708
42,57,54,Organised,290233,63026
42,63,64,Organised,442278,49310
50,50,65,Organised,214470,71284
41,38,57,Free Form,440531,2356
60,42,42,Organised,785686,28952
34,51,37,Organised,629063,16997
52,34,48,Free Form,273815,69138
33,36,46,Free Form,758896,35671
58,68,37,Organised,188000,85019
57,49,52,Organised,348196,47032
49,54,36,Free Form,326843,11229
34,51,37,Organised,460790,88830
52,55,39,Organised,744172,61201
33,36,46,Free Form,74940,91345
55,60,33,Organised,411929,97361
48,48,63,Organised,145782,23831
60,42,42,Organised,212290,86604
41,38,57,Free Form,219729,95078
50,65,50,Organised,492530,11306
32,33,48,Organised,482925,63023
42,57,54,Organised,719232,77293
42,63,64,Organised,1195,79598
57,49,52,Organised,282143,18361
56,53,52,Organised,803546,5823
47,36,56,Free Form,615879,82239
67,56,51,Organised,527793,37185
54,61,66,Organised,389915,79214
58,68,37,Organised,282038,14331
42,57,54,Organised,322045,33379
50,50,65,Organised,275261,98317
57,49,52,Organised,509798,71284
64,43,37,Organised,399992,89640
42,63,64,Organised,259482,39365
42,63,64,Organised,39862,79283
52,34,48,Free Form,387611,70987
48,48,63,Organised,511885,13594
52,34,48,Free Form,696497,56018
65,47,35,Organised,535322,16459
48,48,63,Organised,466496,80934
58,68,37,Organised,730108,10866
42,63,64,Organised,506357,12039
48,48,63,Organised,546754,98457
52,34,48,Free Form,237736,9373
48,48,63,Organised,262177,74958
58,68,37,Organised,112513,83232
48,48,63,Organised,585537,34368
52,34,48,Free Form,701448,50464
42,57,54,Organised,237886,57811
64,43,37,Organised,725537,38079
42,63,64,Organised,683656,77525
57,49,52,Organised,785197,58159
50,65,50,Organised,534700,22073
36,34,68,Free Form,276880,27791
50,50,65,Organised,386105,86993
48,48,63,Organised,710305,74432
47,36,56,Free Form,275946,10542
41,38,57,Free Form,474458,9862
54,61,66,Organised,649654,55676
33,36,46,Free Form,170618,85360
52,34,48,Free Form,745525,15855
52,55,39,Organised,788848,32854
48,48,63,Organised,435983,89932
56,53,52,Organised,270085,42278
36,34,68,Free Form,63446,100484
42,63,64,Organised,512901,69200
42,57,54,Organised,631370,35482
50,65,50,Organised,523447,6127
34,51,37,Organised,64261,43145
36,36,36,Free Form,311486,60627
33,40,42,Organised,259123,51390
45,35,45,Organised,637489,3037
45,71,73,Organised,314647,66982
41,55,49,Organised,206499,88521
40,20,26,Free Form,396537,59959
43,67,61,Organised,252128,89893
62,32,52,Organised,466392,37368
53,24,35,Organised,569838,29264
55,59,60,Organised,32541,97426
42,68,45,Organised,595885,50502
55,79,61,Organised,436934,31633
46,36,46,Organised,572805,57882
62,32,52,Organised,151384,96697
49,63,67,Organised,55608,31433
33,40,42,Organised,514305,100562
36,36,36,Free Form,164476,71382
48,42,63,Organised,33094,45651
62,36,57,Organised,333528,77345
45,71,73,Organised,59518,15221
58,54,62,Free Form,501949,48152
43,67,61,Organised,419039,99463
41,75,62,Organised,583483,88702
55,59,60,Organised,283965,87867
62,32,52,Organised,363599,39224
48,42,63,Organised,535985,69613
66,36,56,Free Form,222648,47033
40,20,26,Free Form,675118,217
53,24,35,Organised,208791,54024
43,67,61,Organised,342522,96344
58,54,62,Free Form,686422,22247
80,64,78,Organised,63539,79697
42,68,45,Organised,219769,22773
80,46,56,Organised,536261,86723
36,36,36,Free Form,422616,73024
55,59,60,Organised,402284,89679
48,72,73,Organised,796117,24845
80,64,78,Organised,463568,16195
56,52,34,Free Form,237244,64932
43,67,61,Organised,427247,69793
45,71,73,Organised,50281,70357
33,40,42,Organised,725429,89023
40,20,26,Free Form,146781,72083
42,68,45,Organised,436375,47021
58,54,62,Free Form,616183,80553
48,42,63,Organised,642824,53601
32,27,20,Free Form,21718,23545
80,46,56,Organised,260906,99065
42,68,45,Organised,344204,54376
49,63,67,Organised,686467,82454
40,40,40,Organised,537977,2053
53,24,35,Organised,440903,4343
32,27,20,Free Form,455489,62230
55,59,60,Organised,534424,89639
80,64,78,Organised,443680,15603
60,56,70,Free Form,74450,37754
41,55,49,Organised,104149,47973
55,79,61,Organised,428501,69919
58,54,62,Free Form,27235,23136
33,39,67,Organised,156260,19675
62,32,52,Organised,215589,52919
43,67,61,Organised,202976,23651
70,50,70,Organised,236651,76710
45,35,45,Organised,595539,10166
41,75,62,Organised,639364,29503
58,54,62,Free Form,165716,84638
43,67,61,Organised,429665,95660
45,71,73,Organised,388311,88876
66,36,56,Free Form,430684,39822
42,68,45,Organised,73355,69611
80,64,78,Organised,80444,30659
40,20,26,Free Form,310735,78366
71,71,71,Organised,461483,4686
45,49,47,Organised,608432,46708
80,46,56,Organised,786786,62645
55,59,54,Organised,560226,79988
53,24,35,Organised,521819,86791
32,27,20,Free Form,24296,44012
34,70,58,Organised,337472,57287
71,71,71,Organised,57438,74937
