strong_bu_speed,strong_bu_passing,strong_bu_positioning,st_id,id
48,36,Organised,5813,47567
55,35,Free Form,3248,7813
61,48,Organised,1129,74204
55,35,Free Form,7243,60366
32,39,Organised,6473,44543
33,52,Organised,1542,56838
36,55,Organised,6439,77701
55,59,Organised,5666,78710
50,64,Organised,1484,48596
41,38,Organised,3467,63691
48,36,Organised,6957,40770
63,40,Organised,6592,58141
62,48,Organised,4976,63183
65,53,Organised,2081,23740
66,49,Organised,4179,76701
62,48,Organised,6688,59741
54,55,Organised,5552,21709
63,42,Organised,4520,65176
40,45,Organised,1055,57910
32,39,Organised,4118,68511
50,49,Organised,3977,68408
33,52,Organised,4352,60918
62,48,Organised,2473,10766
32,33,Organised,4344,19146
45,48,Organised,4811,34978
45,39,Organised,3463,63208
40,50,Organised,6531,6083
41,38,Organised,5696,25578
45,37,Organised,2221,36880
57,34,Organised,5789,26093
63,59,Organised,7567,61821
55,56,Organised,1277,33035
40,45,Organised,7596,56189
61,48,Organised,7083,4058
32,39,Organised,136,12345
62,48,Organised,7634,60421
64,38,Organised,3011,25386
50,49,Organised,649,64818
41,38,Organised,2457,53529
52,54,Organised,2550,64527
36,55,Organised,6191,48707
57,34,Organised,4843,8291
41,38,Organised,1758,63
53,54,Organised,6456,57528
52,36,Organised,6437,67934
51,46,Organised,1705,34774
36,55,Organised,6224,41177
45,37,Organised,1495,18321
41,38,Organised,5902,51625
45,39,Organised,4266,63162
63,42,Organised,1684,73166
52,54,Organised,4642,32378
41,38,Organised,4911,22859
50,64,Organised,4,46096
33,52,Organised,6932,19479
62,48,Organised,489,37670
64,38,Organised,1851,32691
52,36,Organised,7418,41396
47,50,Organised,152,31709
55,35,Free Form,7539,78581
54,56,Organised,3578,38426
61,48,Organised,2295,58036
53,54,Organised,3635,34420
62,48,Organised,4486,26820
50,49,Organised,703,31879
52,36,Organised,5742,29223
49,45,Organised,6669,56955
64,38,Organised,1617,10340
64,38,Organised,1217,76431
57,34,Organised,2544,47457
63,42,Organised,327,3875
57,34,Organised,5663,55022
34,35,Organised,2611,26381
63,42,Organised,5931,15259
53,54,Organised,3697,3573
64,38,Organised,6352,16584
63,42,Organised,5256,19827
57,34,Organised,6319,57659
63,42,Organised,3851,864
53,54,Organised,3625,24160
63,42,Organised,1848,4888
57,34,Organised,4982,7044
62,48,Organised,6980,65971
49,45,Organised,6818,77243
64,38,Organised,4139,12751
52,36,Organised,2226,61687
50,64,Organised,2223,4024
32,39,Organised,6733,40097
50,49,Organised,1255,23046
63,42,Organised,2001,17552
55,35,Free Form,2340,5471
41,38,Organised,1674,43137
61,48,Organised,4791,34482
41,38,Organised,3987,77904
57,34,Organised,5114,56502
45,37,Organised,7069,62065
63,42,Organised,1406,73760
47,50,Organised,1265,53593
32,39,Organised,7334,51474
64,38,Organised,3166,50881
62,48,Organised,7732,77300
50,64,Organised,6242,26514
36,55,Organised,6279,20961
36,40,Organised,4243,60802
36,33,Organised,1381,22996
40,38,Organised,760,61885
68,66,Organised,7796,36659
49,52,Organised,2184,12396
28,34,Organised,2649,73699
51,49,Organised,3829,53442
37,37,Organised,129,12228
35,30,Organised,5104,38011
53,53,Organised,844,2127
50,53,Organised,2145,40760
72,70,Organised,566,18969
36,37,Organised,3160,68476
37,37,Organised,7182,22104
72,68,Organised,6511,13901
36,33,Organised,3312,15824
36,40,Organised,3323,20550
51,51,Organised,6301,62473
50,50,Organised,1899,23504
68,66,Organised,7778,23
51,50,Organised,7243,28764
51,49,Organised,1547,71885
68,71,Organised,1577,37427
53,53,Organised,799,55524
37,37,Organised,4107,38339
51,51,Organised,7580,73298
36,36,Organised,3003,32932
28,34,Organised,6219,2139
35,30,Organised,1299,25567
51,49,Organised,5632,48133
51,50,Organised,4729,32472
73,67,Organised,2955,19506
50,53,Organised,3301,61701
53,49,Organised,4683,20354
36,40,Organised,546,65461
53,53,Organised,2758,28502
69,66,Organised,6002,15887
73,67,Organised,212,2769
49,52,Free Form,2257,5904
51,49,Organised,4123,22726
68,66,Organised,1690,23444
36,33,Organised,6548,64714
28,34,Organised,802,6526
50,53,Organised,6338,48648
51,50,Organised,1617,65065
51,51,Organised,5560,71298
32,28,Organised,5719,71831
53,49,Organised,4452,40434
50,53,Organised,2774,53443
72,68,Organised,4161,39110
40,39,Organised,2742,22654
35,30,Organised,4111,5704
32,28,Organised,7605,18310
53,53,Organised,3374,32893
73,67,Organised,3306,155
53,53,Organised,4781,65408
49,52,Organised,3052,38317
72,70,Organised,4779,4824
51,50,Organised,5609,40753
51,50,Organised,7058,28674
37,37,Organised,6487,18423
51,49,Organised,1952,50177
68,71,Organised,3659,52795
40,38,Organised,7235,36965
68,71,Organised,5584,32963
51,50,Organised,1889,28141
51,49,Organised,5281,25540
68,66,Organised,5828,17212
36,36,Organised,7469,53588
50,53,Organised,195,58769
73,67,Organised,4699,71399
28,34,Organised,6309,56811
71,67,Organised,1209,48991
53,50,Organised,780,66358
53,49,Organised,3451,34427
53,52,Organised,1498,52155
35,30,Organised,4189,1100
32,28,Organised,640,25903
52,51,Organised,7080,14958
71,67,Organised,4067,9020
